Sr.No.,Entity_Types,Input_Text,Output,Person
168,"PERSON, MEANS_OF_TRANSPORTATION, LOCATION","During the evening of Oct. 21, an AMO maritime crew observed a vessel eastbound crossing along the northern coastline of St. John USVI, near North Haulover Bay, without navigational lights.","(""entity""{tuple_delimiter}AMO MARITIME CREW{tuple_delimiter}PERSON{tuple_delimiter}Air and Marine Operations officers observing maritime activity)
{record_delimiter}
(""entity""{tuple_delimiter}VESSEL{tuple_delimiter}MEANS_OF_TRANSPORTATION{tuple_delimiter}Unlit vessel observed at sea)
{record_delimiter}
(""entity""{tuple_delimiter}ST. JOHN USVI, NORTH HAULOVER BAY{tuple_delimiter}LOCATION{tuple_delimiter}Region where the vessel was observed)
{record_delimiter}
(""relationship""{tuple_delimiter}AMO MARITIME CREW{tuple_delimiter}VESSEL{tuple_delimiter}AMO observed the vessel traveling eastbound{tuple_delimiter}9)
{record_delimiter}
(""relationship""{tuple_delimiter}VESSEL{tuple_delimiter}ST. JOHN USVI, NORTH HAULOVER BAY{tuple_delimiter}The vessel was spotted near the northern coastline of St. John USVI{tuple_delimiter}9)
{record_delimiter}
{completion_delimiter}",AMO MARITIME CREW
169,"PERSON, MEANS_OF_TRANSPORTATION, LOCATION",HSI St. Thomas arrested the captain of the vessel for alien smuggling and the four aliens for illegal entry into the United States.,"(""entity""{tuple_delimiter}HSI ST. THOMAS{tuple_delimiter}PERSON{tuple_delimiter}Homeland Security Investigations team responsible for arrests)
{record_delimiter}
(""entity""{tuple_delimiter}CAPTAIN{tuple_delimiter}PERSON{tuple_delimiter}Captain of the vessel arrested for smuggling)
{record_delimiter}
(""entity""{tuple_delimiter}FOUR ALIENS{tuple_delimiter}PERSON{tuple_delimiter}Individuals arrested for illegal entry)
{record_delimiter}
(""entity""{tuple_delimiter}VESSEL{tuple_delimiter}MEANS_OF_TRANSPORTATION{tuple_delimiter}Boat involved in alien smuggling)
{record_delimiter}
(""entity""{tuple_delimiter}UNITED STATES{tuple_delimiter}LOCATION{tuple_delimiter}Destination of illegal entry)
{record_delimiter}
(""relationship""{tuple_delimiter}HSI ST. THOMAS{tuple_delimiter}CAPTAIN{tuple_delimiter}HSI arrested the vessel captain for smuggling{tuple_delimiter}9)
{record_delimiter}
(""relationship""{tuple_delimiter}HSI ST. THOMAS{tuple_delimiter}FOUR ALIENS{tuple_delimiter}HSI arrested four aliens for illegal entry{tuple_delimiter}9)
{record_delimiter}
(""relationship""{tuple_delimiter}VESSEL{tuple_delimiter}UNITED STATES{tuple_delimiter}Vessel was used for entry into the United States{tuple_delimiter}9)
{record_delimiter}
{completion_delimiter}","CAPTAIN,FOUR ALIENS"
170,"PERSON, MEANS_OF_TRANSPORTATION, LOCATION","San Clemente, Calif. - Border Patrol agents Monday apprehended 12 Mexican nationals suspected of illegally entering the country at sea through the use of a smuggling boat.","(""entity""{tuple_delimiter}BORDER PATROL AGENTS{tuple_delimiter}PERSON{tuple_delimiter}Agents responsible for apprehending migrants)
{record_delimiter}
(""entity""{tuple_delimiter}SMUGGLING BOAT{tuple_delimiter}MEANS_OF_TRANSPORTATION{tuple_delimiter}Vessel used to enter the U.S. by sea)
{record_delimiter}
(""entity""{tuple_delimiter}SAN CLEMENTE, CALIFORNIA{tuple_delimiter}LOCATION{tuple_delimiter}Coastal area where apprehensions occurred)
{record_delimiter}
(""relationship""{tuple_delimiter}BORDER PATROL AGENTS{tuple_delimiter}SMUGGLING BOAT{tuple_delimiter}Agents apprehended migrants using a smuggling boat{tuple_delimiter}9)
{record_delimiter}
(""relationship""{tuple_delimiter}BORDER PATROL AGENTS{tuple_delimiter}SAN CLEMENTE, CALIFORNIA{tuple_delimiter}Apprehensions occurred near San Clemente, California{tuple_delimiter}9)
{record_delimiter}
{completion_delimiter}",BORDER PATROL AGENTS
171,PERSON,"Agents suspected the illegal aliens were involved in a maritime smuggling incident upon noticing that the entire group was wearing similar clothing, new slip-on shoes and sweatpants. Agents also noticed that the group's personal belongings were wet.","(""entity""{tuple_delimiter}AGENTS{tuple_delimiter}PERSON{tuple_delimiter}U.S. Border Patrol agents involved in maritime smuggling investigation)
{record_delimiter}
{completion_delimiter}",AGENTS
172,"PERSON, LOCATION","Sunday evening, an Air and Marine Operations maritime crew observed an eastbound vessel crossing along the northern coastline of St. John, near North Haulover Bay, without navigational lights.","(""entity""{tuple_delimiter}AIR AND MARINE OPERATIONS MARITIME CREW{tuple_delimiter}PERSON{tuple_delimiter}Crew observing the vessel)
{record_delimiter}
(""entity""{tuple_delimiter}ST. JOHN, NORTH HAULOVER BAY{tuple_delimiter}LOCATION{tuple_delimiter}Area where vessel was observed)
{record_delimiter}
(""relationship""{tuple_delimiter}AIR AND MARINE OPERATIONS MARITIME CREW{tuple_delimiter}ST. JOHN, NORTH HAULOVER BAY{tuple_delimiter}The crew observed a vessel near the coastline of St. John, near North Haulover Bay{tuple_delimiter}9)
{record_delimiter}
{completion_delimiter}",AIR AND MARINE OPERATIONS MARITIME CREW
173,"PERSON, LOCATION","Canadian police have arrested an alien smuggler who may have helped five Middle Eastern suspects sought by US authorities cross into the United States, CTV television said early Wednesday.
After his recent arrest, the alleged smuggler told police here that his organization was paid handsomely to help 19 people cross illegally into the United States from Pakistan via Britain and Canada, CTV said quoting Canadian police and counterespionage sources.","(""entity""{tuple_delimiter}ALIEN SMUGGLER{tuple_delimiter}PERSON{tuple_delimiter}Smuggler who helped suspects cross into the U.S.)
{record_delimiter}
(""entity""{tuple_delimiter}UNITED STATES{tuple_delimiter}LOCATION{tuple_delimiter}Destination country of smuggling operation)
{record_delimiter}
(""relationship""{tuple_delimiter}ALIEN SMUGGLER{tuple_delimiter}UNITED STATES{tuple_delimiter}Smuggler helped suspects enter the U.S. via Canada and Britain{tuple_delimiter}9)
{record_delimiter}
{completion_delimiter}","CANADIAN POLICE,ALIEN SMUGGLER,MIDDLE EASTERN SUSPECTS"
174,"PERSON, LOCATION",The alleged smuggler told police that his organization was paid to help 19 people cross illegally into the United States from Pakistan via Britain and Canada.,"(""entity""{tuple_delimiter}SMUGGLER{tuple_delimiter}PERSON{tuple_delimiter}Individual discussing their organization's role)
{record_delimiter}
(""entity""{tuple_delimiter}UNITED STATES{tuple_delimiter}LOCATION{tuple_delimiter}Smuggling destination)
{record_delimiter}
(""relationship""{tuple_delimiter}SMUGGLER{tuple_delimiter}UNITED STATES{tuple_delimiter}Smuggler helped 19 people enter the United States illegally{tuple_delimiter}9)
{record_delimiter}
{completion_delimiter}",SMUGGLER
175,"PERSON, LOCATION","Police said the suspects are being interviewed and undergoing extensive background checks by the RCMP, CSIS and Canadian Border Services Agency (CBSA) on suspicion of alien smuggling.","(""entity""{tuple_delimiter}RCMP{tuple_delimiter}ORGANIZATION{tuple_delimiter}Authorities conducting background checks)         {record_delimiter}                                                                                                                                                (""entity""{tuple_delimiter}CBSA{tuple_delimiter}ORGANIZATION{tuple_delimiter}Authorities conducting background checks)
{record_delimiter}                                                                                                                                                                                     (""entity""{tuple_delimiter}CSIS{tuple_delimiter}ORGANIZATION{tuple_delimiter}Authorities conducting background checks)                                    
(""entity""{tuple_delimiter}CANADA{tuple_delimiter}LOCATION{tuple_delimiter}Country where investigation is taking place)
{record_delimiter}
(""relationship""{tuple_delimiter}RCMP{tuple_delimiter}CANADA{tuple_delimiter}Authorities are reviewing suspects in Canada{tuple_delimiter}9)                                                                                                                                  (""relationship""{tuple_delimiter}CBSA{tuple_delimiter}CANADA{tuple_delimiter}Authorities are reviewing suspects in Canada{tuple_delimiter}9)                                                                                                                                   (""relationship""{tuple_delimiter}CSIS{tuple_delimiter}CANADA{tuple_delimiter}Authorities are reviewing suspects in Canada{tuple_delimiter}9)
{record_delimiter}
{completion_delimiter}",
176,"PERSON, LOCATION",Border Patrol agents arrested a group of 11 illegal aliens in the early morning hours yesterday on the coastline of San Onofre State Beach near Camp Pendleton after they were smuggled into the country by boat.,"(""entity""{tuple_delimiter}BORDER PATROL AGENTS{tuple_delimiter}PERSON{tuple_delimiter}Agents who made the arrest)
{record_delimiter}
(""entity""{tuple_delimiter}SAN ONOFRE STATE BEACH{tuple_delimiter}LOCATION{tuple_delimiter}Coastal area of arrest)
{record_delimiter}
(""relationship""{tuple_delimiter}BORDER PATROL AGENTS{tuple_delimiter}SAN ONOFRE STATE BEACH{tuple_delimiter}Arrest of illegal aliens occurred near San Onofre State Beach{tuple_delimiter}9)
{record_delimiter}
{completion_delimiter}",BORDER PATROL AGENTS
177,PERSON,Agents identified one of the individuals in the group as being responsible for the smuggling attempt.,"(""entity""{tuple_delimiter}AGENTS{tuple_delimiter}PERSON{tuple_delimiter}Identified the smuggler in the group)
{record_delimiter}
(""entity""{tuple_delimiter}SMUGGLER{tuple_delimiter}PERSON{tuple_delimiter}Individual responsible for the smuggling attempt)
{record_delimiter}
(""relationship""{tuple_delimiter}AGENTS{tuple_delimiter}SMUGGLER{tuple_delimiter}Agents identified one smuggler in the group{tuple_delimiter}9)
{record_delimiter}
{completion_delimiter}","AGENTS,SMUGGLER"
178,"PERSON, LOCATION",California National Guard troops assisted in the arrest of 18 Mexican nationals on the coastline of San Onofre State Park.,"(""entity""{tuple_delimiter}CALIFORNIA NATIONAL GUARD TROOPS{tuple_delimiter}PERSON{tuple_delimiter}Troops assisting with arrests)
{record_delimiter}
(""entity""{tuple_delimiter}SAN ONOFRE STATE PARK{tuple_delimiter}LOCATION{tuple_delimiter}Location of arrests)
{record_delimiter}
(""relationship""{tuple_delimiter}CALIFORNIA NATIONAL GUARD TROOPS{tuple_delimiter}SAN ONOFRE STATE PARK{tuple_delimiter}Troops assisted arrests at the coastline of the park{tuple_delimiter}9)
{record_delimiter}
{completion_delimiter}",
179,"PERSON, LOCATION, MEANS_OF_TRANSPORTATION",Border Patrol agents arrested two Mexican nationals after they illegally entered the country on a personal watercraft.,"(""entity""{tuple_delimiter}BORDER PATROL AGENTS{tuple_delimiter}PERSON{tuple_delimiter}Officials who made the arrest)
{record_delimiter}
(""entity""{tuple_delimiter}PERSONAL WATERCRAFT{tuple_delimiter}MEANS_OF_TRANSPORTATION{tuple_delimiter}Used to enter the U.S. illegally)
{record_delimiter}
(""relationship""{tuple_delimiter}BORDER PATROL AGENTS{tuple_delimiter}PERSONAL WATERCRAFT{tuple_delimiter}Arrest was made after entry on a personal watercraft{tuple_delimiter}9)
{record_delimiter}
{completion_delimiter}",BORDER PATROL AGENTS
180,"PERSON, LOCATION, MEANS_OF_TRANSPORTATION","On December 19, 2019, at around 3:45 p.m., JHOC contacted AMO about a suspicious vessel off the coast of San Diego, Calif.","(""entity""{tuple_delimiter}JHOC{tuple_delimiter}PERSON{tuple_delimiter}Reported the suspicious vessel)
{record_delimiter}
(""entity""{tuple_delimiter}SAN DIEGO, CALIFORNIA{tuple_delimiter}LOCATION{tuple_delimiter}Area where vessel was seen)
{record_delimiter}
(""entity""{tuple_delimiter}VESSEL{tuple_delimiter}MEANS_OF_TRANSPORTATION{tuple_delimiter}Suspicious boat off the coast)
{record_delimiter}
(""relationship""{tuple_delimiter}JHOC{tuple_delimiter}VESSEL{tuple_delimiter}JHOC reported the suspicious vessel{tuple_delimiter}9)
{record_delimiter}
{completion_delimiter}",JHOC
181,"PERSON, LOCATION, MEANS_OF_TRANSPORTATION",AMO quickly reached the area and intercepted a 24-foot Bayliner pleasure craft.,"(""entity""{tuple_delimiter}AMO{tuple_delimiter}PERSON{tuple_delimiter}Agency that intercepted the vessel)
{record_delimiter}
(""entity""{tuple_delimiter}24-FOOT BAYLINER PLEASURE CRAFT{tuple_delimiter}MEANS_OF_TRANSPORTATION{tuple_delimiter}Vessel intercepted at sea)
{record_delimiter}
(""entity""{tuple_delimiter}SAN DIEGO, CALIFORNIA{tuple_delimiter}LOCATION{tuple_delimiter}Location of interception)
{record_delimiter}
(""relationship""{tuple_delimiter}AMO{tuple_delimiter}24-FOOT BAYLINER PLEASURE CRAFT{tuple_delimiter}AMO intercepted the 24-foot pleasure craft{tuple_delimiter}9)
{record_delimiter}
{completion_delimiter}",
182,"PERSON, LOCATION, MEANS_OF_TRANSPORTATION",The 30-foot Panga used to smuggle 24 Mexican nationals was stopped by CBP Marine Interdiction agents about five miles west of the coastline at Point Loma.,"(""entity""{tuple_delimiter}CBP MARINE INTERDICTION AGENTS{tuple_delimiter}PERSON{tuple_delimiter}Agents who stopped the smuggling boat)
{record_delimiter}
(""entity""{tuple_delimiter}30-FOOT PANGA{tuple_delimiter}MEANS_OF_TRANSPORTATION{tuple_delimiter}Vessel used for smuggling)
{record_delimiter}
(""entity""{tuple_delimiter}POINT LOMA{tuple_delimiter}LOCATION{tuple_delimiter}Interception point near the coastline)
{record_delimiter}
(""relationship""{tuple_delimiter}CBP MARINE INTERDICTION AGENTS{tuple_delimiter}30-FOOT PANGA{tuple_delimiter}Agents stopped the vessel used in smuggling{tuple_delimiter}9)
{record_delimiter}
{completion_delimiter}",CBP MARINE INTERDICTION AGENTS
183,"PERSON, LOCATION, MEANS_OF_TRANSPORTATION",A CBP aircraft soon located the 30-foot Panga as it was traveling southbound.,"(""entity""{tuple_delimiter}CBP AIRCRAFT{tuple_delimiter}PERSON{tuple_delimiter}Air surveillance team locating vessel)
{record_delimiter}
(""entity""{tuple_delimiter}30-FOOT PANGA{tuple_delimiter}MEANS_OF_TRANSPORTATION{tuple_delimiter}Smuggling vessel under surveillance)
{record_delimiter}
(""relationship""{tuple_delimiter}CBP AIRCRAFT{tuple_delimiter}30-FOOT PANGA{tuple_delimiter}Aircraft tracked the vessel heading southbound{tuple_delimiter}9)
{record_delimiter}
{completion_delimiter}",
184,"PERSON, LOCATION, MEANS_OF_TRANSPORTATION","A USCG vessel intercepted the panga, which was 27-feet in length, and confirmed the presence of 17 migrants on board.","(""entity""{tuple_delimiter}USCG VESSEL{tuple_delimiter}MEANS_OF_TRANSPORTATION{tuple_delimiter}Intercepted the migrant boat)
{record_delimiter}
(""entity""{tuple_delimiter}PANGA{tuple_delimiter}MEANS_OF_TRANSPORTATION{tuple_delimiter}Boat carrying migrants)
{record_delimiter}
(""entity""{tuple_delimiter}17 MIGRANTS{tuple_delimiter}PERSON{tuple_delimiter}Migrants intercepted onboard)
{record_delimiter}
(""relationship""{tuple_delimiter}USCG VESSEL{tuple_delimiter}PANGA{tuple_delimiter}USCG intercepted the panga vessel{tuple_delimiter}9)
{record_delimiter}
{completion_delimiter}",17 MIGRANTS
185,"PERSON, LOCATION",U.S. Border Patrol agents took custody of 17 Mexican nationals last Friday west of Santa Catalina Island.,"(""entity""{tuple_delimiter}U.S. BORDER PATROL AGENTS{tuple_delimiter}PERSON{tuple_delimiter}Agents who took custody of migrants)
{record_delimiter}
(""entity""{tuple_delimiter}SANTA CATALINA ISLAND{tuple_delimiter}LOCATION{tuple_delimiter}Offshore location west of custody site)
{record_delimiter}
(""relationship""{tuple_delimiter}BORDER PATROL AGENTS{tuple_delimiter}SANTA CATALINA ISLAND{tuple_delimiter}Custody occurred west of Santa Catalina Island{tuple_delimiter}9)
{record_delimiter}
{completion_delimiter}",U.S. BORDER PATROL AGENTS
186,"PERSON, LOCATION","At about 5:20 a.m., Sheriff's Deputies and U.S. Border Patrol agents responded to an area near Swami's Beach.","(""entity""{tuple_delimiter}SHERIFF'S DEPUTIES{tuple_delimiter}PERSON{tuple_delimiter}Local law enforcement)
{record_delimiter}
(""entity""{tuple_delimiter}BORDER PATROL AGENTS{tuple_delimiter}PERSON{tuple_delimiter}Responding federal agents)
{record_delimiter}
(""entity""{tuple_delimiter}SWAMI'S BEACH{tuple_delimiter}LOCATION{tuple_delimiter}Location of the response)
{record_delimiter}
(""relationship""{tuple_delimiter}SHERIFF'S DEPUTIES{tuple_delimiter}SWAMI'S BEACH{tuple_delimiter}Deputies responded near Swami's Beach{tuple_delimiter}9)
{record_delimiter}
{completion_delimiter}",U.S. BORDER PATROL AGENTS
187,"PERSON, LOCATION",Border Patrol agents questioned the nine passengers and determined they were Mexican nationals illegally present in the U.S.,"(""entity""{tuple_delimiter}BORDER PATROL AGENTS{tuple_delimiter}PERSON{tuple_delimiter}Interrogated the migrants)
{record_delimiter}
(""entity""{tuple_delimiter}MEXICAN NATIONALS{tuple_delimiter}PERSON{tuple_delimiter}Illegal immigrants identified by nationality)
{record_delimiter}
(""relationship""{tuple_delimiter}BORDER PATROL AGENTS{tuple_delimiter}MEXICAN NATIONALS{tuple_delimiter}Agents identified the nine passengers as Mexican nationals{tuple_delimiter}9)
{record_delimiter}
{completion_delimiter}","BORDER PATROL AGENTS,MEXICAN NATIONALS"
188,"PERSON, LOCATION","Zhivargo McBride pled guilty to all fifteen counts in the Indictment: three counts of second degree murder, three counts of alien smuggling with death resulting...","(""entity""{tuple_delimiter}ZHIVARGO MCBRIDE{tuple_delimiter}PERSON{tuple_delimiter}Individual pleading guilty to smuggling and murder charges)
{record_delimiter}
(""relationship""{tuple_delimiter}ZHIVARGO MCBRIDE{tuple_delimiter}ALIEN SMUGGLING{tuple_delimiter}McBride pled guilty to smuggling offenses with death resulting{tuple_delimiter}9)
{record_delimiter}
{completion_delimiter}",ZHIVARGO MCBRIDE
189,"PERSON, LOCATION","Twenty-one individuals have been indicted on alien smuggling charges... including Orlando Magrinat, Carlos Regalado Amechazurra...","(""entity""{tuple_delimiter}ORLANDO MAGRINAT{tuple_delimiter}PERSON{tuple_delimiter}Individual indicted on smuggling charges)
{record_delimiter}
(""entity""{tuple_delimiter}CARLOS REGALADO AMECHAZURRA{tuple_delimiter}PERSON{tuple_delimiter}Co-defendant in the same case)
{record_delimiter}
(""relationship""{tuple_delimiter}ORLANDO MAGRINAT{tuple_delimiter}CARLOS REGALADO AMECHAZURRA{tuple_delimiter}Both were indicted on alien smuggling charges{tuple_delimiter}9)
{record_delimiter}
{completion_delimiter}","ORLANDO MAGRINAT,CARLOS REGALADO AMECHAZURRA"
190,"PERSON, LOCATION",This event is part of an ongoing investigation by a Los Angeles-based task force... headed by ICE's Homeland Security Investigations.,"(""entity""{tuple_delimiter}HOMELAND SECURITY INVESTIGATIONS{tuple_delimiter}PERSON{tuple_delimiter}Federal agency leading the investigation)
{record_delimiter}
(""entity""{tuple_delimiter}LOS ANGELES{tuple_delimiter}LOCATION{tuple_delimiter}Base of the ongoing smuggling task force)
{record_delimiter}
(""relationship""{tuple_delimiter}HOMELAND SECURITY INVESTIGATIONS{tuple_delimiter}LOS ANGELES{tuple_delimiter}Task force headed by HSI based in Los Angeles{tuple_delimiter}9)
{record_delimiter}
{completion_delimiter}",
191,"PERSON, LOCATION, MEANS_OF_TRANSPORTATION",The two men who were found aboard the boat are facing charges for alien smuggling.,"(""entity""{tuple_delimiter}TWO MEN{tuple_delimiter}PERSON{tuple_delimiter}Individuals found aboard the smuggling boat)
{record_delimiter}
(""entity""{tuple_delimiter}BOAT{tuple_delimiter}MEANS_OF_TRANSPORTATION{tuple_delimiter}Vessel involved in smuggling incident)
{record_delimiter}
(""relationship""{tuple_delimiter}TWO MEN{tuple_delimiter}BOAT{tuple_delimiter}Two men were found aboard the boat and charged with alien smuggling{tuple_delimiter}9)
{record_delimiter}
{completion_delimiter}",TWO MEN
192,"PERSON, LOCATION",Three migrants drowned while attempting to reach shore and a fourth was seriously injured when he was struck by the boat's propeller.,"(""entity""{tuple_delimiter}THREE MIGRANTS{tuple_delimiter}PERSON{tuple_delimiter}Victims who drowned trying to reach shore)
{record_delimiter}
(""relationship""{tuple_delimiter}THREE MIGRANTS{tuple_delimiter}SHORE{tuple_delimiter}Three migrants drowned attempting to reach shore{tuple_delimiter}9)
{record_delimiter}
{completion_delimiter}",THREE MIGRANTS
193,"PERSON, LOCATION","U.S. Customs and Border Protection (CBP) Air and Marine Operations (AMO) agents intercepted Sunday a vessel with four aliens, navigating without lights crossing the border between Tortola and St. John.","(""entity""{tuple_delimiter}CBP AMO AGENTS{tuple_delimiter}PERSON{tuple_delimiter}Intercepted a vessel carrying aliens)
{record_delimiter}
(""entity""{tuple_delimiter}VESSEL{tuple_delimiter}MEANS_OF_TRANSPORTATION{tuple_delimiter}Boat crossing between Tortola and St. John)
{record_delimiter}
(""entity""{tuple_delimiter}TORTOLA AND ST. JOHN{tuple_delimiter}LOCATION{tuple_delimiter}Area of interception)
{record_delimiter}
(""relationship""{tuple_delimiter}CBP AMO AGENTS{tuple_delimiter}VESSEL{tuple_delimiter}CBP agents intercepted a vessel without lights crossing the border{tuple_delimiter}9)
{record_delimiter}
{completion_delimiter}","AGENTS, ALIENS"
194,"PERSON, LOCATION",HSI St. Thomas arrested the captain of the vessel for alien smuggling and the four aliens for illegal entry into the United States.,"(""entity""{tuple_delimiter}HSI ST. THOMAS{tuple_delimiter}PERSON{tuple_delimiter}Agency that arrested the captain)
{record_delimiter}
(""entity""{tuple_delimiter}CAPTAIN{tuple_delimiter}PERSON{tuple_delimiter}Captain of the smuggling vessel)
{record_delimiter}
(""relationship""{tuple_delimiter}HSI ST. THOMAS{tuple_delimiter}CAPTAIN{tuple_delimiter}Captain arrested for alien smuggling by HSI St. Thomas{tuple_delimiter}9)
{record_delimiter}
{completion_delimiter}",CAPTAIN
195,"PERSON, LOCATION",Border Patrol agents Monday apprehended 12 Mexican nationals suspected of illegally entering the country at sea through the use of a smuggling boat.,"(""entity""{tuple_delimiter}BORDER PATROL AGENTS{tuple_delimiter}PERSON{tuple_delimiter}Arrested migrants at sea)
{record_delimiter}
(""entity""{tuple_delimiter}SMUGGLING BOAT{tuple_delimiter}MEANS_OF_TRANSPORTATION{tuple_delimiter}Used to illegally enter the U.S. by sea)
{record_delimiter}
(""relationship""{tuple_delimiter}BORDER PATROL AGENTS{tuple_delimiter}SMUGGLING BOAT{tuple_delimiter}12 migrants suspected of entering by sea{tuple_delimiter}9)
{record_delimiter}
{completion_delimiter}",BORDER PATROL AGENTS
196,"PERSON, LOCATION","Agents arrested a male driver and female passenger, both U.S. citizens, after discovering six illegal aliens hiding inside the SUV.","(""entity""{tuple_delimiter}MALE DRIVER AND FEMALE PASSENGER{tuple_delimiter}PERSON{tuple_delimiter}U.S. citizens arrested for smuggling)
{record_delimiter}
(""entity""{tuple_delimiter}SUV{tuple_delimiter}MEANS_OF_TRANSPORTATION{tuple_delimiter}Vehicle hiding six illegal aliens)
{record_delimiter}
(""relationship""{tuple_delimiter}MALE DRIVER AND FEMALE PASSENGER{tuple_delimiter}SUV{tuple_delimiter}Aliens were discovered inside the SUV driven by suspects{tuple_delimiter}9)
{record_delimiter}
{completion_delimiter}","MALE DRIVER, FEMALE PASSENGER"
197,"PERSON, LOCATION","Border Patrol agents were alerted to a maritime smuggling event in the town of Palm Beach and arrested the Bahamian male suspected of smuggling migrants from China, the Dominican Republic and Haiti.","(""entity""{tuple_delimiter}BAHAMIAN MALE{tuple_delimiter}PERSON{tuple_delimiter}Smuggling suspect arrested)
{record_delimiter}
(""entity""{tuple_delimiter}PALM BEACH{tuple_delimiter}LOCATION{tuple_delimiter}Town where smuggling alert occurred)
{record_delimiter}
(""relationship""{tuple_delimiter}BAHAMIAN MALE{tuple_delimiter}PALM BEACH{tuple_delimiter}Suspect was arrested in Palm Beach for smuggling{tuple_delimiter}9)
{record_delimiter}
{completion_delimiter}","BORDER PATROL AGENTS, BAHAMIAN MALE"
198,"PERSON, LOCATION","Customs agents intercepted a vessel with four aliens aboard, navigating without lights crossing the border between Tortola and St. John.","(""entity""{tuple_delimiter}CUSTOMS AGENTS{tuple_delimiter}PERSON{tuple_delimiter}Agents who intercepted the vessel)
{record_delimiter}
(""entity""{tuple_delimiter}VESSEL{tuple_delimiter}MEANS_OF_TRANSPORTATION{tuple_delimiter}Transport used by four aliens)
{record_delimiter}
(""entity""{tuple_delimiter}TORTOLA AND ST. JOHN{tuple_delimiter}LOCATION{tuple_delimiter}Cross-border location)
{record_delimiter}
(""relationship""{tuple_delimiter}CUSTOMS AGENTS{tuple_delimiter}VESSEL{tuple_delimiter}Customs agents intercepted a dark vessel with aliens aboard{tuple_delimiter}9)
{record_delimiter}
{completion_delimiter}",CUSTOMS AGENTS
199,"PERSON, LOCATION",Canadian police have arrested an alien smuggler who may have helped five Middle Eastern suspects cross into the United States.,"(""entity""{tuple_delimiter}ALIEN SMUGGLER{tuple_delimiter}PERSON{tuple_delimiter}Smuggler arrested by Canadian police)
{record_delimiter}
(""entity""{tuple_delimiter}UNITED STATES{tuple_delimiter}LOCATION{tuple_delimiter}Destination of illegal entry)
{record_delimiter}
(""relationship""{tuple_delimiter}ALIEN SMUGGLER{tuple_delimiter}UNITED STATES{tuple_delimiter}Smuggler helped suspects cross into U.S. from Canada{tuple_delimiter}9)
{record_delimiter}
{completion_delimiter}",ALIEN SMUGGLER
200,"PERSON, LOCATION",The alleged smuggler told police that his organization was paid to help 19 people cross illegally into the United States from Pakistan via Britain and Canada.,"(""entity""{tuple_delimiter}SMUGGLER{tuple_delimiter}PERSON{tuple_delimiter}Alleged operator of smuggling ring)
{record_delimiter}
(""entity""{tuple_delimiter}UNITED STATES{tuple_delimiter}LOCATION{tuple_delimiter}Destination of 19 illegal crossings)
{record_delimiter}
(""relationship""{tuple_delimiter}SMUGGLER{tuple_delimiter}UNITED STATES{tuple_delimiter}Smuggler claimed to assist 19 illegal crossings into U.S.{tuple_delimiter}9)
{record_delimiter}
{completion_delimiter}",SMUGGLER
201,"PERSON, LOCATION","Police said the suspects are being interviewed and undergoing extensive background checks by the RCMP, CSIS and Canadian Border Services Agency (CBSA) on suspicion of alien smuggling.","(""entity""{tuple_delimiter}RCMP, CSIS, CBSA{tuple_delimiter}ORGANIZATION{tuple_delimiter}Authorities conducting background checks)
{record_delimiter}
(""entity""{tuple_delimiter}CANADA{tuple_delimiter}LOCATION{tuple_delimiter}Country where suspects are investigated)
{record_delimiter}
(""relationship""{tuple_delimiter}RCMP, CSIS, CBSA{tuple_delimiter}CANADA{tuple_delimiter}Authorities conducting background checks in Canada{tuple_delimiter}9)
{record_delimiter}
{completion_delimiter}",
202,"PERSON, LOCATION",Border Patrol agents arrested a group of 11 illegal aliens in the early morning hours yesterday on the coastline of San Onofre State Beach near Camp Pendleton after they were smuggled into the country by boat.,"(""entity""{tuple_delimiter}BORDER PATROL AGENTS{tuple_delimiter}PERSON{tuple_delimiter}Agents conducting arrests)
{record_delimiter}
(""entity""{tuple_delimiter}SAN ONOFRE STATE BEACH{tuple_delimiter}LOCATION{tuple_delimiter}Beach where aliens landed)
{record_delimiter}
(""relationship""{tuple_delimiter}BORDER PATROL AGENTS{tuple_delimiter}SAN ONOFRE STATE BEACH{tuple_delimiter}Arrest of smuggled aliens took place at this beach{tuple_delimiter}9)
{record_delimiter}
{completion_delimiter}",BORDER PATROL AGENTS
203,"PERSON, LOCATION",Agents identified one of the individuals in the group as being responsible for the smuggling attempt.,"(""entity""{tuple_delimiter}AGENTS{tuple_delimiter}PERSON{tuple_delimiter}Officials who identified the smuggler)
{record_delimiter}
(""entity""{tuple_delimiter}SMUGGLER{tuple_delimiter}PERSON{tuple_delimiter}Individual responsible for smuggling attempt)
{record_delimiter}
(""relationship""{tuple_delimiter}AGENTS{tuple_delimiter}SMUGGLER{tuple_delimiter}One individual in the group was identified as the smuggler{tuple_delimiter}9)
{record_delimiter}
{completion_delimiter}","AGENTS,SMUGGLER"
