Sr.No.,Input_Text,TP_ent,FP_ent,FN_ent,TP_rel,FP_rel,FN_rel,TP_ent_pairs,FP_ent_pairs,FN_ent_pairs,TP_rel_pairs,FP_rel_pairs,FN_rel_pairs
199,"Kim had been running a marine consulting and crew recruiting business, Marine International, in Dalian, northeast China, near Korea.",4,0,1,3,1,2,"('china', 'location'); ('dalian', 'location'); ('kim', 'person'); ('korea', 'location')",,"('marine international', 'organization')","('dalian', 'china'); ('dalian', 'korea'); ('kim', 'dalian')","('kim', 'china')","('kim', 'marine international'); ('marine international', 'dalian')"
200,Attorney General Terry Goddard urged the federal government to intensify efforts to take down the Mexican drug cartels who control the smuggling of both humans and drugs.,1,1,2,1,1,2,"('terry goddard', 'person')","('mexico', 'location')","('federal government', 'organization'); ('mexican drug cartels', 'organization')","('terry goddard', 'mexican drug cartels')","('mexican drug cartels', 'mexico')","('federal government', 'mexican drug cartels'); ('terry goddard', 'federal government')"
201,McBride pled guilty to three counts of second degree murder and three counts of alien smuggling with death resulting.,1,0,0,0,0,0,"('mcbride', 'person')",,,,,
202,Six members of a Cuban smuggling ring were arrested and indicted in South Florida.,2,0,1,1,0,2,"('six members', 'person'); ('south florida', 'location')",,"('cuban smuggling ring', 'organization')","('six members', 'south florida')",,"('cuban smuggling ring', 'south florida'); ('six members', 'cuban smuggling ring')"
203,Twenty-one individuals were charged with alien smuggling involving 151 foreign nationals in Florida.,1,0,2,0,0,3,"('florida', 'location')",,"('151 foreign nationals', 'person'); ('twenty-one individuals', 'person')",,,"('151 foreign nationals', 'florida'); ('twenty-one individuals', '151 foreign nationals'); ('twenty-one individuals', 'florida')"
204,"The Coast Guard interdicted a speedboat carrying 1,000 kilograms of cocaine off the coast of Ecuador.",1,1,3,0,0,4,"('ecuador', 'location')","('coast guard', 'person')","('1,000 kilograms of cocaine', 'smuggled_items'); ('coast guard', 'organization'); ('speedboat', 'means_of_transportation')",,,"('coast guard', 'ecuador'); ('coast guard', 'speedboat'); ('speedboat', '1,000 kilograms of cocaine'); ('speedboat', 'ecuador')"
205,ICE and U.S. Border Patrol launched Operation Lost at Sea to investigate migrant smuggling in Florida.,1,0,2,0,0,3,"('florida', 'location')",,"('ice', 'organization'); ('u.s. border patrol', 'organization')",,,"('ice', 'florida'); ('ice', 'u.s. border patrol'); ('u.s. border patrol', 'florida')"
206,"On December 19, 2019, at around 3:45 p.m., JHOC contacted AMO about a suspicious vessel off the coast of San Diego, Calif.",1,4,4,3,3,2,"('suspicious vessel', 'means_of_transportation')","('amo', 'person'); ('jhoc', 'person'); ('san diego, calif.', 'location'); ('san diego, california', 'location')","('amo', 'organization'); ('california', 'location'); ('jhoc', 'organization'); ('san diego', 'location')","('amo', 'suspicious vessel'); ('jhoc', 'amo'); ('jhoc', 'suspicious vessel')","('amo', 'san diego, calif.'); ('jhoc', 'san diego, calif.'); ('suspicious vessel', 'san diego, california')","('san diego', 'california'); ('suspicious vessel', 'san diego')"
207,AMO quickly reached the area and intercepted a 24-foot Bayliner pleasure craft.,0,2,2,0,0,1,,"('amo', 'person'); ('bayliner', 'means_of_transportation')","('24-foot bayliner pleasure craft', 'means_of_transportation'); ('amo', 'organization')",,,"('amo', '24-foot bayliner pleasure craft')"
208,The 30-foot Panga used to smuggle 24 Mexican nationals was stopped by CBP Marine Interdiction agents about five miles west of the coastline at Point Loma.,2,2,2,1,4,4,"('30-foot panga', 'means_of_transportation'); ('point loma', 'location')","('mexican nationals', 'person'); ('panga', 'means_of_transportation')","('24 mexican nationals', 'person'); ('cbp marine interdiction agents', 'organization')","('30-foot panga', 'point loma')","('mexican nationals', '30-foot panga'); ('mexican nationals', 'panga'); ('mexican nationals', 'point loma'); ('panga', 'point loma')","('30-foot panga', '24 mexican nationals'); ('cbp marine interdiction agents', '24 mexican nationals'); ('cbp marine interdiction agents', '30-foot panga'); ('cbp marine interdiction agents', 'point loma')"
209,A CBP aircraft soon located the 30-foot Panga as it was traveling southbound.,0,0,3,0,0,2,,,"('30-foot panga', 'means_of_transportation'); ('cbp', 'organization'); ('cbp aircraft', 'means_of_transportation')",,,"('cbp', 'cbp aircraft'); ('cbp aircraft', '30-foot panga')"
210,"A USCG vessel intercepted the panga, which was 27-feet in length, and confirmed the presence of 17 migrants on board.",1,1,3,0,1,4,"('panga', 'means_of_transportation')","('uscg', 'person')","('17 migrants', 'person'); ('uscg', 'organization'); ('uscg vessel', 'means_of_transportation')",,"('uscg', 'panga')","('panga', '17 migrants'); ('uscg', 'uscg vessel'); ('uscg vessel', '17 migrants'); ('uscg vessel', 'panga')"
211,U.S. Border Patrol agents took custody of 17 Mexican nationals last Friday west of Santa Catalina Island.,2,1,2,1,2,3,"('santa catalina island', 'location'); ('u.s. border patrol agents', 'person')","('mexican nationals', 'person')","('17 mexican nationals', 'person'); ('u.s. border patrol', 'organization')","('u.s. border patrol agents', 'santa catalina island')","('mexican nationals', 'santa catalina island'); ('u.s. border patrol agents', 'mexican nationals')","('17 mexican nationals', 'santa catalina island'); ('u.s. border patrol', 'u.s. border patrol agents'); ('u.s. border patrol agents', '17 mexican nationals')"
212,"At about 5:20 a.m., Sheriff's Deputies and U.S. Border Patrol agents responded to an area near Swami's Beach.",0,0,5,0,0,5,,,"(""sheriff's department"", 'organization'); (""sheriff's deputies"", 'person'); (""swami's beach"", 'location'); ('u.s. border patrol', 'organization'); ('u.s. border patrol agents', 'person')",,,"(""sheriff's deputies"", ""sheriff's department""); (""sheriff's deputies"", ""swami's beach""); (""sheriff's deputies"", 'u.s. border patrol agents'); ('u.s. border patrol agents', ""swami's beach""); ('u.s. border patrol agents', 'u.s. border patrol')"
213,Border Patrol agents questioned the nine passengers and determined they were Mexican nationals illegally present in the U.S.,1,1,3,0,1,4,"('u.s.', 'location')","('mexican nationals', 'person')","('border patrol agents', 'person'); ('nine mexican nationals', 'person'); ('u.s. border patrol', 'organization')",,"('mexican nationals', 'u.s.')","('border patrol agents', 'nine mexican nationals'); ('border patrol agents', 'u.s.'); ('nine mexican nationals', 'u.s.'); ('u.s. border patrol', 'border patrol agents')"
214,"Homero Zamorano, Jr., participated in a human smuggling organization illegally bringing adults and children from Guatemala, Honduras, El Salvador, and Mexico into the United States",6,1,3,5,6,20,"('el salvador', 'location'); ('guatemala', 'location'); ('homero zamorano, jr.', 'person'); ('honduras', 'location'); ('mexico', 'location'); ('united states', 'location')","('adults and children', 'smuggled_items')","('adults', 'person'); ('children', 'person'); ('human smuggling organization', 'organization')","('homero zamorano, jr.', 'el salvador'); ('homero zamorano, jr.', 'guatemala'); ('homero zamorano, jr.', 'honduras'); ('homero zamorano, jr.', 'mexico'); ('homero zamorano, jr.', 'united states')","('el salvador', 'adults and children'); ('guatemala', 'adults and children'); ('homero zamorano, jr.', 'adults and children'); ('honduras', 'adults and children'); ('mexico', 'adults and children'); ('united states', 'adults and children')","('adults', 'el salvador'); ('adults', 'guatemala'); ('adults', 'honduras'); ('adults', 'mexico'); ('adults', 'united states'); ('children', 'el salvador'); ('children', 'guatemala'); ('children', 'honduras'); ('children', 'mexico'); ('children', 'united states'); ('homero zamorano, jr.', 'adults'); ('homero zamorano, jr.', 'children'); ('homero zamorano, jr.', 'human smuggling organization'); ('human smuggling organization', 'adults'); ('human smuggling organization', 'children'); ('human smuggling organization', 'el salvador'); ('human smuggling organization', 'guatemala'); ('human smuggling organization', 'honduras'); ('human smuggling organization', 'mexico'); ('human smuggling organization', 'united states')"
215,"The trailer's air-conditioning unit was not functioning, and when Defendant arrived at the unloading location in San Antonio, 48 of the migrants were either already dead or died on site due to heat exhaustion",2,2,1,1,4,2,"('san antonio', 'location'); ('trailer', 'means_of_transportation')","('defendant', 'person'); ('migrants', 'smuggled_items')","('48 migrants', 'person')","('trailer', 'san antonio')","('defendant', 'migrants'); ('defendant', 'trailer'); ('migrants', 'san antonio'); ('trailer', 'migrants')","('48 migrants', 'san antonio'); ('48 migrants', 'trailer')"
216,"Fifteen migrants were transported to hospitals, five of whom died while receiving medical care",0,1,3,0,1,3,,"('migrants', 'smuggled_items')","('fifteen migrants', 'person'); ('five migrants', 'person'); ('hospitals', 'location')",,"('none', 'none')","('fifteen migrants', 'five migrants'); ('fifteen migrants', 'hospitals'); ('five migrants', 'hospitals')"
217,They were transported during the hot summer months for three hours along the highway between Laredo and San Antonio,2,1,1,1,2,2,"('laredo', 'location'); ('san antonio', 'location')","('highway', 'routes')","('highway between laredo and san antonio', 'route')","('laredo', 'san antonio')","('highway', 'laredo'); ('highway', 'san antonio')","('highway between laredo and san antonio', 'laredo'); ('highway between laredo and san antonio', 'san antonio')"
218,Jaquez maintained the truck with the trailer picked him up at a plaza in Nuevo Laredo between 5:45 and 6:00 a.m. to take him to the day job,3,0,1,3,0,3,"('jaquez', 'person'); ('nuevo laredo', 'location'); ('truck with trailer', 'means_of_transportation')",,"('plaza', 'location')","('jaquez', 'nuevo laredo'); ('jaquez', 'truck with trailer'); ('truck with trailer', 'nuevo laredo')",,"('jaquez', 'plaza'); ('plaza', 'nuevo laredo'); ('truck with trailer', 'plaza')"
219,Two of the F-150's occupants got into the trailer and another took the driver's seat of the truck in which Jaquez was arrested,2,0,4,0,1,9,"('f-150', 'means_of_transportation'); ('jaquez', 'person')",,"('third f-150 occupant', 'person'); ('trailer', 'means_of_transportation'); ('truck', 'means_of_transportation'); ('two f-150 occupants', 'person')",,"('jaquez', 'f-150')","('f-150', 'trailer'); ('f-150', 'truck'); ('jaquez', 'truck'); ('third f-150 occupant', 'f-150'); ('third f-150 occupant', 'truck'); ('trailer', 'truck'); ('two f-150 occupants', 'f-150'); ('two f-150 occupants', 'third f-150 occupant'); ('two f-150 occupants', 'trailer')"
220,"In the video, Jaquez asserted he saw the last four aliens get into the trailer but admitted he did not ask any questions or walk away because he wanted to get paid",2,1,1,1,2,2,"('jaquez', 'person'); ('trailer', 'means_of_transportation')","('aliens', 'smuggled_items')","('four aliens', 'person')","('jaquez', 'trailer')","('aliens', 'trailer'); ('jaquez', 'aliens')","('four aliens', 'trailer'); ('jaquez', 'four aliens')"
221,Jaquez confessed he knew the truck was heading north towards San Antonio and was attempting to evade the Border Patrol checkpoints,3,0,2,2,0,4,"('jaquez', 'person'); ('san antonio', 'location'); ('truck', 'means_of_transportation')",,"('border patrol', 'organization'); ('border patrol checkpoints', 'location')","('jaquez', 'truck'); ('truck', 'san antonio')",,"('border patrol', 'border patrol checkpoints'); ('jaquez', 'border patrol checkpoints'); ('jaquez', 'san antonio'); ('truck', 'border patrol checkpoints')"
222,"Descargas, however, contacted Jaquez again through WhatsApp about a job one week after Jaquez's arrest, while Jaquez was in custody",1,2,4,0,3,6,"('jaquez', 'person')","('descargas', 'person'); ('whatsapp', 'means_of_communication')","('border patrol', 'organization'); ('border patrol checkpoints', 'location'); ('san antonio', 'location'); ('truck', 'means_of_transportation')",,"('descargas', 'jaquez'); ('descargas', 'whatsapp'); ('jaquez', 'whatsapp')","('border patrol', 'border patrol checkpoints'); ('jaquez', 'border patrol checkpoints'); ('jaquez', 'san antonio'); ('jaquez', 'truck'); ('truck', 'border patrol checkpoints'); ('truck', 'san antonio')"
223,Descargas told Jaquez he would have the information the next day,2,0,0,1,0,0,"('descargas', 'person'); ('jaquez', 'person')",,,"('descargas', 'jaquez')",,
224,"On March 19, 2021, Abdullah Yusuf pulled a flatbed trailer north on Interstate 35",2,1,1,3,0,0,"('abdullah yusuf', 'person'); ('flatbed trailer', 'means_of_transportation')","('interstate 35', 'routes')","('interstate 35', 'route')","('abdullah yusuf', 'flatbed trailer'); ('abdullah yusuf', 'interstate 35'); ('flatbed trailer', 'interstate 35')",,
225,"Yusuf claimed a brokerage company paid him $2,700 to haul the load",2,0,0,1,0,0,"('brokerage company', 'organization'); ('yusuf', 'person')",,,"('yusuf', 'brokerage company')",,
226,Sai Deshpande said he arrived at the pickup location—a lot on Auburn Road in Laredo—between 11:00 p.m. and 12:00 a.m,2,1,2,3,0,3,"('laredo', 'location'); ('sai deshpande', 'person')","('auburn road', 'routes')","('auburn road', 'route'); ('pickup location', 'location')","('auburn road', 'laredo'); ('sai deshpande', 'auburn road'); ('sai deshpande', 'laredo')",,"('pickup location', 'auburn road'); ('pickup location', 'laredo'); ('sai deshpande', 'pickup location')"
227,"Yusuf then backed his trailer to the loading dock, took his tractor to the Flying J to wait while the trailer was being loaded, returned an hour later, hooked his tractor to the now-loaded trailer, received a bill of lading, and started for Dallas",5,0,1,7,1,3,"('dallas', 'location'); ('flying j', 'location'); ('tractor', 'means_of_transportation'); ('trailer', 'means_of_transportation'); ('yusuf', 'person')",,"('loading dock', 'location')","('tractor', 'dallas'); ('tractor', 'flying j'); ('trailer', 'dallas'); ('yusuf', 'dallas'); ('yusuf', 'flying j'); ('yusuf', 'tractor'); ('yusuf', 'trailer')","('trailer', 'flying j')","('trailer', 'loading dock'); ('trailer', 'tractor'); ('yusuf', 'loading dock')"
228,"The bill of lading identified USA Trucking as the carrier, contained a trailer number that didn't match Yusuf's trailer, included an origin address other than Auburn Road, and listed a delivery address in North Carolina, not Dallas",5,1,1,4,4,4,"('dallas', 'location'); ('north carolina', 'location'); ('trailer', 'means_of_transportation'); ('usa trucking', 'organization'); ('yusuf', 'person')","('auburn road', 'location')","('auburn road', 'route')","('usa trucking', 'trailer'); ('yusuf', 'auburn road'); ('yusuf', 'dallas'); ('yusuf', 'trailer')","('usa trucking', 'auburn road'); ('usa trucking', 'dallas'); ('usa trucking', 'north carolina'); ('yusuf', 'north carolina')","('north carolina', 'dallas'); ('trailer', 'auburn road'); ('trailer', 'north carolina'); ('usa trucking', 'yusuf')"
229,Both acknowledged that they paid several thousand dollars to be smuggled into the United States,1,0,1,0,0,1,"('united states', 'location')",,"('two smuggled individuals', 'person')",,,"('two smuggled individuals', 'united states')"
230,one of the aliens testified that he walked past the tractor right before climbing into the trailer,2,1,1,0,2,3,"('tractor', 'means_of_transportation'); ('trailer', 'means_of_transportation')","('alien', 'person')","('one alien', 'person')",,"('alien', 'tractor'); ('alien', 'trailer')","('one alien', 'tractor'); ('one alien', 'trailer'); ('tractor', 'trailer')"
231,"Once all 84 aliens were loaded, the truck left roughly two minutes later",1,1,1,0,1,1,"('truck', 'means_of_transportation')","('aliens', 'smuggled_items')","('84 aliens', 'person')",,"('truck', 'aliens')","('84 aliens', 'truck')"
232,"When he arrived, Yusuf was told to leave his trailer and that he would receive a call when the load was ready",2,1,0,1,1,0,"('trailer', 'means_of_transportation'); ('yusuf', 'person')","('phone call', 'means_of_communication')",,"('yusuf', 'trailer')","('yusuf', 'phone call')",
233,"He hooked up to the trailer, ensured the straps were secure, received the bill of lading from a person working at the lot, then traveled north on I-35 toward Dallas",2,2,4,3,3,6,"('dallas', 'location'); ('trailer', 'means_of_transportation')","('he', 'person'); ('i-35', 'routes')","('i-35', 'route'); ('lot', 'location'); ('person working at the lot', 'person'); ('yusuf', 'person')","('i-35', 'dallas'); ('trailer', 'dallas'); ('trailer', 'i-35')","('he', 'dallas'); ('he', 'i-35'); ('he', 'trailer')","('person working at the lot', 'lot'); ('yusuf', 'dallas'); ('yusuf', 'i-35'); ('yusuf', 'lot'); ('yusuf', 'person working at the lot'); ('yusuf', 'trailer')"
234,"Both aliens who testified said they agreed to pay at least $10,000 to be smuggled into the United States",1,1,1,0,1,1,"('united states', 'location')","('aliens', 'person')","('both aliens', 'person')",,"('aliens', 'united states')","('both aliens', 'united states')"
235,"In January 2012, Cantu Silva entered the United States without legal documentation with a group of about ten individuals",2,0,1,1,0,2,"('cantu silva', 'person'); ('united states', 'location')",,"('group of about ten individuals', 'person')","('cantu silva', 'united states')",,"('cantu silva', 'group of about ten individuals'); ('group of about ten individuals', 'united states')"
236,Cantu Silva was riding in the bed of the truck,2,0,0,1,0,0,"('cantu silva', 'person'); ('truck', 'means_of_transportation')",,,"('cantu silva', 'truck')",,
237,"Shortly thereafter, the truck stopped, and the driver of the truck yelled at Cantu Silva and the occupants to run",2,0,2,1,0,4,"('cantu silva', 'person'); ('truck', 'means_of_transportation')",,"('driver', 'person'); ('occupants', 'person')","('cantu silva', 'truck')",,"('driver', 'cantu silva'); ('driver', 'occupants'); ('driver', 'truck'); ('occupants', 'truck')"
238,"There was testimony by an eyewitness, that Jefferson spoke with a driver who dropped off an alien who then boarded the trailer",3,0,1,1,2,2,"('driver', 'person'); ('jefferson', 'person'); ('trailer', 'means_of_transportation')",,"('alien', 'person')","('jefferson', 'driver')","('driver', 'trailer'); ('jefferson', 'trailer')","('alien', 'trailer'); ('driver', 'alien')"
239,Cantu and Jefferson were recruited by the same individual to transport illegal aliens,2,1,2,3,0,2,"('cantu', 'person'); ('jefferson', 'person')","('illegal aliens', 'smuggled_items')","('illegal aliens', 'person'); ('individual', 'person')","('cantu', 'illegal aliens'); ('cantu', 'jefferson'); ('jefferson', 'illegal aliens')",,"('individual', 'cantu'); ('individual', 'jefferson')"
240,Cantu was brought to the trailer by smugglers and witnessed Jefferson close the trailer door,3,0,1,3,0,3,"('cantu', 'person'); ('jefferson', 'person'); ('trailer', 'means_of_transportation')",,"('smugglers', 'person')","('cantu', 'jefferson'); ('cantu', 'trailer'); ('jefferson', 'trailer')",,"('cantu', 'smugglers'); ('smugglers', 'jefferson'); ('smugglers', 'trailer')"
241,"In 1999, Ponce Flores was arrested on charges of alien smuggling after he and two other aliens crossed the border in Laredo, Texas",2,1,2,1,2,5,"('laredo, texas', 'location'); ('ponce flores', 'person')","('aliens', 'smuggled_items')","('border', 'location'); ('two aliens', 'person')","('ponce flores', 'laredo, texas')","('aliens', 'laredo, texas'); ('ponce flores', 'aliens')","('border', 'laredo, texas'); ('ponce flores', 'border'); ('ponce flores', 'two aliens'); ('two aliens', 'border'); ('two aliens', 'laredo, texas')"
242,"In 2004, Ponce Flores unlawfully re-entered the United States in Arizona without inspection",2,0,1,1,0,2,"('arizona', 'location'); ('ponce flores', 'person')",,"('united states', 'location')","('ponce flores', 'arizona')",,"('ponce flores', 'united states'); ('united states', 'arizona')"
243,"Miss Fu Mei Chen, a 31-year-old national from China, was being held by the defendant at the Roadrunner Inn, a motel located at 6865 Southwest Freeway in Houston",2,1,4,1,2,10,"('houston', 'location'); ('roadrunner inn', 'location')","('fu mei chen', 'person')","('6865 southwest freeway', 'route'); ('china', 'location'); ('defendant', 'person'); ('miss fu mei chen', 'person')","('roadrunner inn', 'houston')","('fu mei chen', 'houston'); ('fu mei chen', 'roadrunner inn')","('6865 southwest freeway', 'houston'); ('defendant', '6865 southwest freeway'); ('defendant', 'houston'); ('defendant', 'roadrunner inn'); ('miss fu mei chen', '6865 southwest freeway'); ('miss fu mei chen', 'china'); ('miss fu mei chen', 'defendant'); ('miss fu mei chen', 'houston'); ('miss fu mei chen', 'roadrunner inn'); ('roadrunner inn', '6865 southwest freeway')"
244,"Specifically, there were two rooms that were rented, rooms 296 and 297 in that motel",1,0,2,0,0,3,"('motel', 'location')",,"('room 296', 'location'); ('room 297', 'location')",,,"('motel', 'room 296'); ('motel', 'room 297'); ('room 296', 'room 297')"
245,Miss Fu Mei Chen was in room 297,1,1,1,0,1,1,"('room 297', 'location')","('fu mei chen', 'person')","('miss fu mei chen', 'person')",,"('fu mei chen', 'room 297')","('miss fu mei chen', 'room 297')"
246,The defendant and others were responsible for smuggling Miss Fu Mei Chen into the United States from her homeland in China on a previous occasion,2,1,3,1,2,9,"('china', 'location'); ('united states', 'location')","('fu mei chen', 'person')","('defendant', 'person'); ('miss fu mei chen', 'person'); ('others', 'person')","('china', 'united states')","('fu mei chen', 'china'); ('fu mei chen', 'united states')","('defendant', 'china'); ('defendant', 'miss fu mei chen'); ('defendant', 'others'); ('defendant', 'united states'); ('miss fu mei chen', 'china'); ('miss fu mei chen', 'united states'); ('others', 'china'); ('others', 'miss fu mei chen'); ('others', 'united states')"
247,"During the early morning hours of that same date of June 2nd, 1999, Miss Fu Mei Chen was moved around at the direction of the defendant and other smugglers",1,1,2,0,1,3,"('defendant', 'person')","('fu mei chen', 'person')","('miss fu mei chen', 'person'); ('smugglers', 'person')",,"('fu mei chen', 'defendant')","('defendant', 'smugglers'); ('miss fu mei chen', 'defendant'); ('miss fu mei chen', 'smugglers')"
248,She and another smuggled alien were ultimately moved to the Roadrunner Inn specifically because the defendant was nervous about other smugglers discovering her whereabouts as well as another Chinese national alien,1,4,5,0,5,11,"('roadrunner inn', 'location')","('another chinese national alien', 'person'); ('another smuggled alien', 'person'); ('she', 'person'); ('the defendant', 'person')","('chinese national alien', 'person'); ('defendant', 'person'); ('miss fu mei chen', 'person'); ('smuggled alien', 'person'); ('smugglers', 'person')",,"('another chinese national alien', 'roadrunner inn'); ('another smuggled alien', 'she'); ('she', 'roadrunner inn'); ('she', 'the defendant'); ('the defendant', 'roadrunner inn')","('chinese national alien', 'defendant'); ('chinese national alien', 'smugglers'); ('defendant', 'roadrunner inn'); ('defendant', 'smugglers'); ('miss fu mei chen', 'defendant'); ('miss fu mei chen', 'roadrunner inn'); ('miss fu mei chen', 'smuggled alien'); ('miss fu mei chen', 'smugglers'); ('smuggled alien', 'defendant'); ('smuggled alien', 'roadrunner inn'); ('smuggled alien', 'smugglers')"
249,"She was moved, along with a male alien, to the Roadrunner Inn and while arrangements were being made to transfer this woman, Fu Mei Chen, to the custody of other smugglers, she escaped from the second story bathroom by jumping or falling out of room 297 while attempting to escape and, in fact, successfully escaping",2,0,4,1,0,9,"('fu mei chen', 'person'); ('roadrunner inn', 'location')",,"('bathroom', 'location'); ('male alien', 'person'); ('room 297', 'location'); ('smugglers', 'person')","('fu mei chen', 'roadrunner inn')",,"('fu mei chen', 'bathroom'); ('fu mei chen', 'male alien'); ('fu mei chen', 'room 297'); ('fu mei chen', 'smugglers'); ('male alien', 'roadrunner inn'); ('male alien', 'room 297'); ('roadrunner inn', 'bathroom'); ('roadrunner inn', 'room 297'); ('room 297', 'bathroom')"
250,Fu Mei Chen's journey began in November or December 1997 when she took a ship from China to Guatemala,4,0,0,5,0,1,"('china', 'location'); ('fu mei chen', 'person'); ('guatemala', 'location'); ('ship', 'means_of_transportation')",,,"('fu mei chen', 'china'); ('fu mei chen', 'guatemala'); ('fu mei chen', 'ship'); ('ship', 'china'); ('ship', 'guatemala')",,"('china', 'guatemala')"
251,The ship had about 200 Chinese males and 13 Chinese females,1,2,2,0,3,3,"('ship', 'means_of_transportation')","('chinese females', 'smuggled_items'); ('chinese males', 'smuggled_items')","('13 chinese females', 'person'); ('200 chinese males', 'person')",,"('chinese males', 'chinese females'); ('ship', 'chinese females'); ('ship', 'chinese males')","('200 chinese males', '13 chinese females'); ('ship', '13 chinese females'); ('ship', '200 chinese males')"
252,Ms. Chen first met Defendant when he brought a smaller boat to resupply the larger ship,3,1,1,2,2,4,"('defendant', 'person'); ('ms. chen', 'person'); ('smaller boat', 'means_of_transportation')","('{tuple_delimiter)larger ship', 'means_of_transportation')","('larger ship', 'means_of_transportation')","('defendant', 'smaller boat'); ('ms. chen', 'defendant')","('defendant{tuple_delimiter)larger ship', 'the defendant resupplied the larger ship using the smaller boat'); ('smaller boat{tuple_delimiter)larger ship', 'the smaller boat was used to transport supplies to the larger ship')","('defendant', 'larger ship'); ('ms. chen', 'larger ship'); ('ms. chen', 'smaller boat'); ('smaller boat', 'larger ship')"
253,"The smuggling organization initially told Ms. Chen that she needed to pay a $15,000 fee, which she believed she could pay through employment in the United States",2,1,1,1,2,2,"('ms. chen', 'person'); ('united states', 'location')","('the smuggling organization', 'organization')","('smuggling organization', 'organization')","('ms. chen', 'united states')","('ms. chen', 'the smuggling organization'); ('the smuggling organization', 'united states')","('ms. chen', 'smuggling organization'); ('smuggling organization', 'united states')"
254,"Ms. Chen made it into the United States on May 31, 1999, and the organization brought her to Houston, Texas, where Defendant met her",4,1,1,2,3,6,"('defendant', 'person'); ('houston, texas', 'location'); ('ms. chen', 'person'); ('united states', 'location')","('the organization', 'organization')","('organization', 'organization')","('defendant', 'houston, texas'); ('ms. chen', 'defendant')","('ms. chen', 'the organization'); ('the organization', 'houston, texas'); ('the organization', 'united states')","('ms. chen', 'houston, texas'); ('ms. chen', 'organization'); ('ms. chen', 'united states'); ('organization', 'defendant'); ('organization', 'houston, texas'); ('organization', 'united states')"
255,"On June 1, 1999, Defendant took Ms. Chen to a Sun Suites Motel in Houston",3,1,1,6,0,0,"('defendant', 'person'); ('houston', 'location'); ('ms. chen', 'person')","('sun suites motel', 'organization')","('sun suites motel', 'location')","('defendant', 'houston'); ('defendant', 'ms. chen'); ('defendant', 'sun suites motel'); ('ms. chen', 'houston'); ('ms. chen', 'sun suites motel'); ('sun suites motel', 'houston')",,
256,The defendant also held Ri-Bioa Yang because his family could not pay the suddenly increased smuggling fee,1,1,2,0,1,3,"('ri-bioa yang', 'person')","('smuggling fee', 'smuggled_items')","('defendant', 'person'); ('family', 'person')",,"('ri-bioa yang', 'smuggling fee')","('defendant', 'family'); ('defendant', 'ri-bioa yang'); ('ri-bioa yang', 'family')"
257,"Mr. Yang's family originally paid $10,000 to smuggle Mr. Yang into the United States",1,1,2,0,1,3,"('united states', 'location')","('yang', 'person')","('mr. yang', 'person'); (""mr. yang's family"", 'person')",,"('yang', 'united states')","('mr. yang', 'united states'); (""mr. yang's family"", 'mr. yang'); (""mr. yang's family"", 'united states')"
258,"Once Mr. Yang arrived, Defendant told him that he owed another $30,000",1,1,1,0,1,1,"('defendant', 'person')","('yang', 'person')","('mr. yang', 'person')",,"('yang', 'defendant')","('mr. yang', 'defendant')"
259,"Contreras de Velasquez admitted to giving the female passenger the birth certificate and that she expected to receive $500 after taking the undocumented woman to Victoria, Texas",2,0,2,1,0,5,"('contreras de velasquez', 'person'); ('victoria, texas', 'location')",,"('female passenger', 'person'); ('undocumented woman', 'person')","('contreras de velasquez', 'victoria, texas')",,"('contreras de velasquez', 'female passenger'); ('contreras de velasquez', 'undocumented woman'); ('female passenger', 'undocumented woman'); ('female passenger', 'victoria, texas'); ('undocumented woman', 'victoria, texas')"
260,"He entered the United States on or about February 15, 2020, at 1 a.m. by walking across the international boundary from Mexico into the United States approximately one mile from El Paso, Texas, without being inspected by immigration officers",3,0,1,2,1,2,"('el paso, texas', 'location'); ('mexico', 'location'); ('united states', 'location')",,"('immigration officers', 'person')","('mexico', 'el paso, texas'); ('united states', 'el paso, texas')","('united states', 'mexico')","('mexico', 'united states'); ('united states', 'immigration officers')"
261,"He previously entered the United States approximately two years ago by walking from Juarez, Mexico, to El Paso, Texas",2,1,1,1,2,2,"('el paso, texas', 'location'); ('juarez, mexico', 'location')","('he', 'person')","('united states', 'location')","('juarez, mexico', 'el paso, texas')","('he', 'el paso, texas'); ('he', 'juarez, mexico')","('el paso, texas', 'united states'); ('juarez, mexico', 'united states')"
262,Cano was found to be the driver of a pickup truck containing four undocumented Mexican nationals confessing to have recently crossed illegally into the United States,3,1,1,4,0,2,"('cano', 'person'); ('pickup truck', 'means_of_transportation'); ('united states', 'location')","('undocumented mexican nationals', 'smuggled_items')","('undocumented mexican nationals', 'person')","('cano', 'pickup truck'); ('cano', 'undocumented mexican nationals'); ('pickup truck', 'undocumented mexican nationals'); ('undocumented mexican nationals', 'united states')",,"('cano', 'united states'); ('pickup truck', 'united states')"
263,"there was a passenger in Freeman's truck, Ms. Miriam Edith Rivera-Quintero",2,1,1,1,2,2,"('freeman', 'person'); ('truck', 'means_of_transportation')","('miriam edith rivera-quintero', 'person')","('ms. miriam edith rivera-quintero', 'person')","('freeman', 'truck')","('miriam edith rivera-quintero', 'freeman'); ('miriam edith rivera-quintero', 'truck')","('freeman', 'ms. miriam edith rivera-quintero'); ('ms. miriam edith rivera-quintero', 'truck')"
